"EventName"	"GroupName"	"RSVP"	"Date_ms"	"Date"	"Time"	"Fees"	"Location"	"Address"	"url"
"New Tech Boulder Monthly Meetup"	"New Tech Colorado"	91	1533859200000	"2018-08-09"	"05:00:00 PM"	"10"	"Galvanize Boulder"	"1023 Walnut St."	"https://www.meetup.com/bdnewtech/events/252758354/"
"August Meetup"	"Boulder JS"	37	1534377600000	"2018-08-15"	"05:00:00 PM"	"NULL"	"Galvanize - Boulder"	"1023 Walnut Street"	"https://www.meetup.com/Boulder-JS/events/250857024/"
"Boulder Python Monthly Meetup"	"Boulder Python"	36	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"Galvanize Boulder - Walnut Street"	"1023 Walnut Street"	"https://www.meetup.com/BoulderPython/events/252365041/"
"Picnic & Love's Labour's Lost @ CU Shakespeare Festival (Buy Tickets In Advance)"	"Laid-Back Singles Denver-Boulder"	34	1534114800000	"2018-08-12"	"04:00:00 PM"	"NULL"	"Mary Rippon Outdoor Theater - CU Boulder Campus"	"Broadway & College Ave"	"https://www.meetup.com/LaidBackSingles/events/252320598/"
"Picnic & Love's Labour's Lost @ CU Shakespeare Festival (Buy Tickets In Advance)"	"9th Hour Happy Hour - Boulder"	33	1534114800000	"2018-08-12"	"04:00:00 PM"	"NULL"	"Mary Rippon Outdoor Theater - CU Boulder Campus"	"Broadway & College Ave"	"https://www.meetup.com/9th-Hour-Happy-Hour-Boulder/events/252320643/"
"Elixir 101 (Beginners Welcome)"	"Boulder Elixir"	25	1534379400000	"2018-08-15"	"05:30:00 PM"	"NULL"	"Google Boulder"	"2930 Pearl St"	"https://www.meetup.com/boulder-elixir/events/251867463/"
"Bear Peak via Shanahan Ridge (Meteor Shower Hike)"	"Boulder CHAOS"	24	1.533945e+12	"2018-08-10"	"04:50:00 PM"	"NULL"	"Cragmoor Connector"	" Cragmoor Connector"	"https://www.meetup.com/BoulderCHAOS/events/253400202/"
"2nd Saturday Demo: Chasing and Repousse Tool Making "	"Boulder Metalsmithing Association"	23	1534001400000	"2018-08-11"	"08:30:00 AM"	"NULL"	"Boulder Metalsmithing Association"	"4919 Broadway, Unit 15"	"https://www.meetup.com/BoulderMA/events/252154557/"
"Monday Evening Kick Around"	"The Boulder Collective Soccer Club"	22	1.534203e+12	"2018-08-13"	"04:30:00 PM"	"3"	"Casey Middle School "	"1301 High Street"	"https://www.meetup.com/Boulder-Soccer/events/252821513/"
"Thursday Evening Kick Around"	"The Boulder Collective Soccer Club"	21	1533856500000	"2018-08-09"	"04:15:00 PM"	"3"	"Casey Middle School "	"1301 High Street"	"https://www.meetup.com/Boulder-Soccer/events/253227326/"
"Retreat Practice Day for Zen Peacemaker Order Colorado"	"Zen Peacemakers Order Colorado"	21	1534084200000	"2018-08-12"	"07:30:00 AM"	"NULL"	"Willow Farm Contemplative Center"	"11898 North 75th Street"	"https://www.meetup.com/Zen-Peacemakers-Order-Colorado/events/251214446/"
"Puppy Kindergarten Social"	"Puppy Kindergarten Social"	19	1533999600000	"2018-08-11"	"08:00:00 AM"	"NULL"	"Training Spot"	"1280 Centaur Village Drive"	"https://www.meetup.com/Puppy-Kindergarten-Social/events/252758464/"
"Perseid meteor shower"	"Trails and Ales"	19	1534039200000	"2018-08-11"	"07:00:00 PM"	"NULL"	"Intersection of 7th & University"	"701 University Ave"	"https://www.meetup.com/Trails-and-Ales-etc/events/253526933/"
"NIST/Kohler Mesa Hike"	"Boulder Ramblers"	19	1534431600000	"2018-08-16"	"08:00:00 AM"	"NULL"	"End of King Avenue"	"22nd and King Avenue"	"https://www.meetup.com/BoulderRamblers/events/250358661/"
"SVCG Volunteering for the Celestial Seasonings B-Strong Ride"	"St Vrain Chain Gang Cycling Club (SVCG) - Longmont, CO"	17	1533992400000	"2018-08-11"	"06:00:00 AM"	"NULL"	"Celestial Seasonings "	"4600 Sleepytime Drive Boulder, CO 80301"	"https://www.meetup.com/St-Vrain-Chain-Gang/events/249725860/"
"Puppy Kindergarten Social"	"Puppy Kindergarten Social"	17	1534381200000	"2018-08-15"	"06:00:00 PM"	"NULL"	"Training Spot"	"1280 Centaur Village Drive"	"https://www.meetup.com/Puppy-Kindergarten-Social/events/252758591/"
"Go-Kart Racing!"	"Boulder 20s and 30s Social"	16	1.534014e+12	"2018-08-11"	"12:00:00 PM"	"NULL"	"Safeway"	"4800 Baseline Road"	"https://www.meetup.com/Boulder-20s-and-30s-Social/events/252399781/"
"Biases that influence our purchase decisions"	"Hacking Human Nature for Good"	16	1534292100000	"2018-08-14"	"05:15:00 PM"	"NULL"	"Boulder Public Library"	"1001 Arapahoe Avenue"	"https://www.meetup.com/Hacking-Human-Nature-for-Good/events/249846129/"
"Classics-Fathers and Sons by Ivan Turgenev"	"Boulder Bookaholics Book Club"	15	1.534005e+12	"2018-08-11"	"09:30:00 AM"	"NULL"	"Zolo Grill"	"2525 Arapahoe Ave"	"https://www.meetup.com/Boulder-Bookaholics/events/250583118/"
"Boulder Fitness Walk Beginning at Foothills Community Park"	"Boulder Ramblers"	15	1534255200000	"2018-08-14"	"07:00:00 AM"	"NULL"	"Foothills Community Park"	"800 Cherry Avenue"	"https://www.meetup.com/BoulderRamblers/events/250358669/"
