"EventName"	"GroupName"	"RSVP"	"Date_ms"	"Date"	"Time"	"Fees"	"Location"	"Address"	"url"
"Lafayette Networking Referral Group"	"4BR - Building Better Business by Referral"	12	1.533852e+12	"2018-08-09"	"03:00:00 PM"	"NULL"	"95a Bistro and Sushi"	"1381 Forest Park Circle"	"https://www.meetup.com/4BR-Building-Better-Business-by-Referral/events/252125604/"
"Bacco Trattoria Happy Hour and Dinner"	"Boulder 50 + Dining Out"	10	1533853800000	"2018-08-09"	"03:30:00 PM"	"NULL"	"Bacco Restaurant"	"1200 Yarmouth off of N Broadway"	"https://www.meetup.com/Boulder-50-Dining-Out/events/253284300/"
"BLUEZ HOUSE  8/9/18 - NIWOT ROCK & RAILS SUMMER CONCERT SERIES-FREE"	"Longmont Social Meetup"	8	1533855600000	"2018-08-09"	"04:00:00 PM"	"NULL"	"Whistle Stop Park"	"1st and Murray"	"https://www.meetup.com/Longmont-Social-Meetup/events/251019766/"
"Thursday Evening Kick Around"	"The Boulder Collective Soccer Club"	21	1533856500000	"2018-08-09"	"04:15:00 PM"	"3"	"Casey Middle School "	"1301 High Street"	"https://www.meetup.com/Boulder-Soccer/events/253227326/"
"Enchanted Mesa / Southern Sun"	"Boulder Hiking then Dining"	10	1533857400000	"2018-08-09"	"04:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Boulder-Hiking-then-Dining/events/253594794/"
"Looking for a New Organizer! Movement Thursday Night Meetup"	"Boulder Rock Climbers"	6	1533857400000	"2018-08-09"	"04:30:00 PM"	"NULL"	"Movement Climbing and Fitness"	"2845 Valmont Road "	"https://www.meetup.com/rockclimbing-80/events/253473524/"
"New Tech Boulder Monthly Meetup"	"New Tech Colorado"	91	1533859200000	"2018-08-09"	"05:00:00 PM"	"10"	"Galvanize Boulder"	"1023 Walnut St."	"https://www.meetup.com/bdnewtech/events/252758354/"
"How Freelancers Can Stop Sucking at Budgeting "	"Boulder Designers"	10	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"Boulder Digital Arts"	"1600 Range Street, Suite 100"	"https://www.meetup.com/Boulder-Designers-Group-for-Women/events/253430905/"
"Vamos fazer um Happy Hour!"	"Vamos Falar Português!"	9	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"Rayback Collective"	"2775 Valmont Road"	"https://www.meetup.com/VamosFalarPortugues/events/253101947/"
"The Work of Byron Katie Inquiry Circle "	"Loving What Is...The Work of Byron Katie Inquiry Circle"	11	1533859200000	"2018-08-09"	"05:00:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Loving-What-Is-The-Work-of-Byron-Katie-Inquiry-Circle/events/251192930/"
